,ID,Listing Name,Display Name,Sector,Brief Description,Address,Website,Phone,Social Media 1,Social Media 1 Type,Social Media 2,Social Media 2 Type,Social Media 3,Social Media 3 Type,Status,lon,lat
0,d79126,Anthony Avenue Garden,Anthony Avenue Garden,Gardens,Bronx Land Trust member garden,"2078 Anthony Ave, Bronx, NY, 10457",https://www.instagram.com/anthonyavegarden/?hl=en,,,,,,,,,-73.901561,40.852845
1,5ca1f2,Bainbridge Garden,Bainbridge Garden,Gardens,Bronx Land Trust member garden,"2980 Bainbridge Ave, Bronx, NY, 10458",https://www.facebook.com/bainbridgeavegarden/,,,,,,,,,-73.883937,40.870947
2,3eb62b,Belmont Little Farmers,Belmont Little Farmers,Gardens,Bronx Land Trust member garden,"2485 Belmont Ave, Bronx, NY",,,,,,,,,,-73.884638,40.857006
3,8ff044,Bruckner Mott Haven Garden,Bruckner Mott Haven Garden,Gardens,Bronx Land Trust member garden,"678 E 136 Bronx NY, 10454",https://www.instagram.com/brucknermotthavengarden/,,,,,,,,,-73.915239,40.803938
4,e7ee89,Cauldwell Youth Garden,Cauldwell Youth Garden,Gardens,Bronx Land Trust member garden,"551 Cauldwell Ave, Bronx, NY 10455",,,,,,,,,,-73.911052,40.814167
5,04b0c2,Davidson Avenue Community Garden,Davidson Avenue Community Garden,Gardens,Bronx Land Trust member garden,"2387 Davidson Ave, Bronx, NY 10468",https://www.facebook.com/The-Bronx-Davidson-Avenue-Community-Garden-113933977012198/,,,,,,,,,-73.903419,40.861393
6,edb873,Fordham Bedford Lot Busters,Fordham Bedford Lot Busters,Gardens,Bronx Land Trust member garden,"2599 Bainbridge Ave, Bronx, NY 10458
",,,,,,,,,,-73.892641,40.864222
7,0573ff,Grant Avenue Block Association Garden,Grant Avenue Block Association Garden,Gardens,Bronx Land Trust member garden,"1062 Grant Ave, Bronx, NY 10456",,,,,,,,,,-73.916624,40.830359
8,0365af,Jacquline (NO ‘E’) Denise Davis Garden,Jacquline (NO ‘E’) Denise Davis Garden,Gardens,Bronx Land Trust member garden,"Boston Rd. & E 165th St. Bronx, NY, 10456
",,,,,,,,,,-73.867686,40.858666
9,e7a75f,Manor Avenue Seniors Garden,Manor Avenue Seniors Garden,Gardens,Bronx Land Trust member garden,"1021 Manor Ave. Bronx, NY, 10472",,,,,,,,,,-73.875631,40.824643
10,3ee62a,Mapes Avenue Garden,Mapes Avenue Garden,Gardens,Bronx Land Trust member garden,"2124 Mapes Ave. Bronx, NY, 10460",,,,,,,,,,-73.884929,40.847346
11,333b21,Neighborhood Advisory Committee Community Garden,Neighborhood Advisory Committee Community Garden,Gardens,Bronx Land Trust member garden,"360 E 151st St. Bronx, NY, 10455",,,,,,,,,,-73.918536,40.817542
12,350f97,Palmas del Caribe,Palmas del Caribe,Gardens,Bronx Land Trust member garden,"869 Eagle Ave. Bronx, NY, 10456",,,,,,,,,,-73.908744,40.821977
13,ec1ab2,Perry’s Garden,Perry’s Garden,Gardens,Bronx Land Trust member garden,"2139 Daly Ave. Bronx, NY, 10460",,,,,,,,,,-73.88106,40.845979
14,74ef5a,Roberto Clemente Community Garden,Roberto Clemente Community Garden,Gardens,Bronx Land Trust member garden,"1276 Shakespeare Ave. Bronx, NY, 10452",,,,,,,,,,-73.922385,40.83896
15,6fc2b7,"Sun, Wind and Shade Oasis","Sun, Wind and Shade Oasis",Gardens,Bronx Land Trust member garden,"955 Sherman Ave. Bronx, NY, 10456",,,,,,,,,,-73.919421,40.828369
16,fc23bf,The William Rainey Garden,The William Rainey Garden,Gardens,Bronx Land Trust member garden,"685 Beck St. Bronx, NY, 10455",,,,,,,,,,-73.901081,40.81507
17,802831,Tremont Community Garden,Tremont Community Garden,Gardens,Bronx Land Trust member garden,"1981 Lafontaine Ave. Bronx, NY, 10457",https://www.facebook.com/john.perterson.904/,,,,,,,,,-73.894227,40.847087
18,1ed1ab,"Q Gardens Community Farm
","Q Gardens Community Farm
",Gardens,"Brooklyn Queens Land Trust affiliate garden - Q Gardens opened in early 2015 after 2.5 years of organizing efforts by the local community. The garden is located on Metropolitan Transit Authority (MTA) property. The requirements for signing a lease with MTA were difficult for a community group to meet, so Q Gardens joined BQLT as its first affiliate (leased) garden. It has since become a vibrant community green space with an active community composting program. ","58 East 18th Street, Brooklyn, Flatbush, NY, 11226",https://qgardenscf.com/,,,,,,,,,-73.963466,40.649749
19,d6827b,"Transit Garden
","Transit Garden
",Gardens,Brooklyn Queens Land Trust affiliate garden (leased from MTA),"134 2nd Pl, Brooklyn, Carroll Gardens, NY,11231",https://transitgarden.org/,,,,,,,,,-73.9962,40.678948
20,592f26,"1100 Block Bergen Street Community Garden
","1100 Block Bergen Street Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - 1100 Block Bergen Street Community Garden is a vibrant green space that has functioned as a neighborhood hub since 1980. The garden features individual garden plots, a large gazebo, colorful and diverse ornamental plantings, and flexible open space and seating for events and gatherings. Originally built on a combination of City-owned and private land, 1100 Block Bergen Street Community Garden was purchased by the Trust for Public Land and transferred to the garden group in 1989. In 2015, the garden deed was transferred to BQLT as a way to ensure that the space will remain a garden in perpetuity","1107 Bergen Street, Brooklyn, Crown Heights, NY 11216",https://www.facebook.com/1100-Bergen-Street-Community-Garden-118493218181017/,,,,,,,,,-73.949151,40.676248
21,cd0f5a,"227th Street Cambria Heights Community Garden
","227th Street Cambria Heights Community Garden
",Gardens,Brooklyn Queens Land Trust member garden,"116-98 227th St, Cambria Heights, NY 11411",https://bqlt.org/garden/227th-street-cambria-heights-community-garden,,,,,,,,,-73.7342,40.693406
22,bcedcf,"Back to Eden Community Garden
","Back to Eden Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Back to Eden Community Garden has an inspirational history. Founding members Ella and Percy Heron worked in the garden for over 20 years, devoting themselves to improving their community’s quality of life. The garden, formerly known as The Garden of Eden, was renamed Back to Eden Community Garden in their honor. Since reopening in 2004, this beloved green space has continued to be cared for by dedicated members of the surrounding community.","144-29 Lakewood Avenue, Queens, Jamaica, NY 11435",https://bqlt.org/garden/back-to-eden-community-garden,,,,,,,,,-73.803462,40.690065
23,82cb49,"Central Bainbridge St. Community Garden
","Central Bainbridge St. Community Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Once a debris-ridden lot littered with the remains of two demolished buildings, eight women volunteers from the neighborhood block association began clearing the land in 1978 to create Central Bainbridge Community Garden. The garden now boasts vibrant green vegetable plots, a gazebo, and shaded seating area where local residents gather for cookouts and other social events. The garden also regularly hosts visits from students from P.S. 40.","277-279 Bainbridge Street, Brooklyn, Bed-Stuy, 11233",https://bqlt.org/garden/central-bainbridge-st-community-garden,,,,,,,,,-73.925649,40.6818
24,915da3,"Classon Ful-Gate Block Association Garden
","Classon Ful-Gate Block Association Garden
",Gardens,"Brooklyn Queens Land Trust member garden - Back in 1968, a young man name Joe Robinson took on the task of transforming a debris-filled lot into a vegetable garden. Together with Willie Ford and Leroy and Gloria Fashion, he worked tirelessly to create a beautiful space that the community has cherished for half a century. The garden became a member of Green Thumb in 1978 and the Classon Ful-Gate Block Association was formed the following year. In 1983, the garden was protected by the Land Trust Group and, in 1999, the garden was further protected by the Trust for Public Land. A large mural on the garden’s back wall pays homage to past and present residents of the block. A memorial garden featuring newly planted trees with the names of senior garden members and those who have passed on was built to remember those who worked so hard to bring this garden to life.","472-474 Classon Avenue, Brooklyn, Clinton Hill, NY 11238",https://bqlt.org/garden/classon-ful-gate-block-association-garden,,,,,,,,,-73.95928,40.683961
25,28a760,"Clifton Place Block Association Garden
","Clifton Place Block Association Garden
",Gardens,Brooklyn Queens Land Trust member garden - The purpose of the Clifton Place Garden is to create a green space that satisfies the aesthetic and planting needs of gardeners and would-be gardeners in the surrounding community. It offers a venue for community members to participate in something civic and to create something beautiful. It empowers them to directly affect their surroundings.,"289 Grand Avenue, Brooklyn, Clinton Hill, NY 11238",https://cliftongarden.wordpress.com/,,,,,,,,,-73.962364,40.687622
26,bfdd6e,"Concerned Citizens of Grove St. Community Garden
","Concerned Citizens of Grove St. Community Garden
",Gardens,Brooklyn Queens Land Trust member garden.,"72 Grove Street, Brooklyn, Bushwick, NY 11221",https://bqlt.org/garden/concerned-citizens-of-grove-street,,,,,,,,,-73.921527,40.692213
